Benchmark,Method 1,Method 2,Method 3,Method 4
-0.005904279605791155,0.0006301319209369852,-0.009809781111101663,-0.00384483636164041,0.025092872135352592
0.0037392655777719564,0.0007325561441650572,-0.0026039917129550105,0.005301524941851961,-0.008995891664467494
0.003786009669240701,0.0011854524253837007,0.0014179430496215001,0.014376289607456653,-0.03962106242712487
0.033680286057516086,-0.0006065799622939701,-0.008681142502984202,-0.023139691243126446,-0.02188242136448155
-0.028067526416314586,0.0002448897619737627,0.011966820783713101,-0.011604886837291715,-0.008541559921156064
0.0186399574175281,0.0003668621189985035,0.0071694574637421,0.03190727029996783,-0.004222933600456868
0.0387166401052441,0.0006851594723383346,-0.0075301990217562205,0.020381391718061734,-0.008712823826115693
-0.011793801448154293,-0.00012748152188104197,-0.03157984688707079,-0.036849916994640824,-0.008074625955668008
0.011170640961351288,0.0007392784816025508,0.020360735740977753,-0.04200597526291259,0.026727611648265488
0.024819047046255798,-0.0003614629684599008,-0.025307822234274028,-0.009263000643622609,-0.012582324563531443
