Benchmark,Method 1,Method 2,Method 3,Method 4
0.019104818339829775,0.01212221856328812,0.017477382410645236,0.014134012376262266,0.013545074065052834
0.010343520733127264,0.010821184376704266,0.011243645767925853,0.009431177159452957,0.013106446769026522
0.01270777242567222,0.018223577170888437,0.010765725142491103,0.011348844791051148,0.007339009501893199
0.012060892119567181,0.024352517891806848,0.008250485870912845,0.013238844300413987,0.008952328541239622
0.01392440244673646,0.02497828204164036,0.005881696700822173,0.009255335328187397,0.008787578205618709
0.0159212149605726,0.020446689005107953,0.009260737377050141,0.012065078446250216,0.010250024393940148
0.011422096103028497,0.01682855710848903,0.013803554851797887,0.005652822172409797,0.008255633210488382
0.01124404503953045,0.01677864237944857,0.00939226538779311,0.009041185034025939,0.008257335787776333
0.007213458980333932,0.010518041704428835,0.006395213829135703,0.007372238086133518,0.007916519920887941
0.014070210990844507,0.02673498533720108,0.01692543000615396,0.01430432682309459,0.006720279507696266
