Benchmark,Method 1,Method 2,Method 3,Method 4
-0.006339244735161373,-0.00015831745017232002,0.0010570485153632266,-0.003018897299448516,0.012764400765129169
0.0020769557360712796,0.0003393853426066086,-0.011324007683904902,-0.028260796494717837,-0.002730217636698393
0.0025615358369232904,0.0009445697092944222,0.028092803566612003,-0.01431346070259399,0.011355206066090489
0.031209860853964305,-0.000452756896128885,-0.003982008147421161,-0.02882475793536744,-0.028649180073573168
-0.027637087357121656,-0.000304199186047117,-0.009345397861355282,-7.774116782689543e-5,0.020729347074659257
0.017809434902279233,0.0008338777492274639,-0.0011166297029467334,-0.011660608155558519,-0.022215817960433475
0.0407382200655841,0.0004323841507554014,-0.015365923600788017,0.006149560024596092,-0.0022542914085368826
-0.012112783824059047,2.3360441926560698e-5,-0.027784443024024063,-0.02738617803303701,-0.003938062845637717
0.010405454947453563,0.000808960561688281,-0.0057621091701317295,-0.016539929779778695,-0.006864530736203701
0.025400637264265825,-0.00022274328267858404,0.001707528390866447,0.006109059182528052,-0.008954103023194502
