Benchmark,Method 1,Method 2,Method 3,Method 4
-0.0015391199115179883,0.0003178443517023497,0.0005912688626145609,-0.001098887208989183,0.0035874559630933666
0.0029735327296265173,1.0693272042878239e-5,0.0017602653701469149,-0.002944765013862689,0.0036951530272743734
-0.002279530368501274,1.8445510360558502e-5,-0.0012746024122598358,-7.100548411887829e-5,-0.002523650800728825
-0.0035657335283654965,0.0005564276048168688,-0.0008683842165005183,-2.6640462600932867e-5,-0.0001278655827844724
-0.0024860406827122193,0.0009128583833159782,0.0012737009611684985,-0.0004702997860659779,0.001454609447782266
-0.0022947805046577494,0.000285729420702549,0.0023011195200102748,0.0010605993102146935,0.000546412337837955
0.0020736988665768607,0.00034511150046428107,-0.0003247126674685531,0.0015406824930488362,0.001768804834026946
0.002342715601135865,0.0006798916642190511,-0.0008630623639814011,-0.003040417457321647,0.001952583442807777
-0.004113836945303755,9.331942231461822e-5,-0.0005352080693572642,-0.003360582473495386,-0.0002993200954705016
0.0030699471689558527,0.0003486480444543141,0.0034677783008382423,-0.0031487495343846244,0.00593907022102818
