Benchmark,Method 1,Method 2,Method 3,Method 4
-0.043272080616478886,0.7913455838767042,-0.043272080616478886,-0.043272080616478886,0.5826911677534085
0.5440461381883975,0.8860115345470994,0.430057672735497,0.5440461381883975,0.8860115345470994
0.08571428571428534,0.7714285714285714,0.657142857142857,0.08571428571428534,-0.14285714285714332
0.8885366752672319,0.3312200516033914,-0.11463324732768103,-0.003169922594912922,-0.003169922594912922
0.23708111493892908,0.7820231756968369,0.4550579392420922,0.4550579392420922,0.019104290635765946
0.5374024782010096,0.7687012391005048,0.421753097751262,0.3061037173015144,0.5374024782010096
0.7799478196049199,0.8899739098024599,-0.10026090197540084,-0.10026090197540084,0.4498695490122996
0.4059884095299421,0.8811976819059885,0.8811976819059885,0.8811976819059885,0.04958145524790734
-0.02689486552567221,0.6919315403422983,0.8973105134474327,0.4865525672371639,0.6919315403422983
0.03911028730305847,0.6797034291010194,0.14587581093605198,0.14587581093605198,0.8932344763670065
