Benchmark,Method 1,Method 2,Method 3,Method 4
0.0003041176071849687,0.00015828715926549642,0.0,4.3195352478407134e-5,0.0005864638007965264
0.00054135513687594,0.0,0.00020825741842006774,9.682138770536177e-5,1.3483495832868837e-5
0.0,0.00015147240559063463,8.180187284492406e-5,0.0,0.0
0.0,0.0,8.020367358261967e-5,0.00035183874763929866,0.0004942429607602576
0.0,0.0,8.666925208243909e-5,0.0,0.0
0.0001322309408364308,0.001229136098780599,0.00023523627227118663,0.0001322309408363162,0.0
0.0,0.00013159529518538262,6.497012447216894e-5,4.3368000868448e-6,0.0006338018343582692
0.0,0.0008709450597366661,0.0,0.0,0.00015529544579671254
0.00036084913262738363,0.001087630662638495,0.00036084913262727104,0.00026564893424773896,0.0
0.0,0.0003700206341255448,0.00020968992229334347,0.00013091220238872493,9.093642859739152e-5
