Benchmark,Method 1,Method 2,Method 3,Method 4
0.00013657178381757407,7.28183728090401e-5,0.0001407137053823974,9.023041734951123e-5,1.179847350276349e-6
8.268293065159746e-5,6.637855434316428e-6,1.7907546821744372e-5,0.0001345265065627874,0.0002667055732668453
0.000527993787147729,3.6797827075019386e-5,0.0003060947613941797,0.0002526314579031853,0.000343749827631315
0.0004215031225127321,0.0001965970536765941,3.8187285510880385e-5,0.00023385516015432734,0.00014531780132809029
0.00022798606251419348,0.0004665498192878811,0.00012919010923339826,9.377156501795074e-5,0.00017188357460234848
0.0005415513987129827,0.00012156666454557477,2.2970543622092364e-5,0.0001174078957139122,0.0006786162957127867
0.00030942181103937644,6.083661893365846e-5,6.71812708755178e-5,0.0005896947675570987,8.761523524470208e-5
0.00023016189942771684,0.000677952792560175,4.222899297044735e-5,0.0001437558864766958,4.084063817540715e-6
0.0001371629356900099,0.00011771330103501536,8.696639457510365e-5,4.0999047413748016e-5,6.559368067611495e-5
0.00022951053955997522,9.709756933738297e-5,0.00019191833165812898,7.622369107881401e-5,0.0002461547898678735
