Benchmark,Method 1,Method 2,Method 3,Method 4
-0.09634551495016584,0.6710963455149502,-0.09634551495016584,-0.09634551495016584,0.5614617940199337
0.4862385321100918,0.22935779816513774,0.3577981651376148,0.3577981651376148,0.8715596330275229
0.02245430809399477,0.14464751958224542,0.633420365535248,0.633420365535248,-0.22193211488250653
0.8794835007173601,0.27690100430416065,-0.20516499282639888,-0.20516499282639888,-0.08464849354375899
0.1753554502369668,0.8821936357481381,0.4109681787406906,0.4109681787406906,-0.17806364251861886
0.5004955401387513,0.8751238850346879,0.3756194251734391,0.2507433102081269,0.5004955401387513
0.7613967022308439,0.2841901066925316,-0.1930164888457807,-0.1930164888457807,0.40349175557710965
0.3604852686308493,0.23258232235701912,0.8720970537261699,0.8720970537261699,0.6162911611785096
-0.08433734939759018,0.674698795180723,0.4578313253012049,0.891566265060241,0.13253012048192786
-0.005235602094240838,0.6649214659685864,0.10645724258289703,0.10645724258289703,0.8883071553228621
