Benchmark,Method 1,Method 2,Method 3,Method 4
0.028269683713807704,0.021182693240760418,-0.03686947021909745,0.01821651515087231,-0.08480947160685137
0.04927000189903254,0.023794644754368963,-0.01101941759048302,0.03922469989835376,-0.04542070944142993
-0.13759175994583175,0.019167144765324152,0.0022884898672792878,-0.05106050749643889,-0.1642584388471091
0.022861768954261195,0.004570451069962442,0.12927428446469819,0.08429485321652483,0.03613654353381296
0.06499856292331753,0.021392536632417997,0.069395512054536,0.06548181032217021,-0.013404330146555973
-0.042138248363926836,0.022334815196260654,0.1075132040866646,0.08170122710582785,-0.027461078376023483
0.023883895833888332,0.037600243396927364,-0.055139242489835316,-0.1806811510838524,0.09763254039183007
-0.08756155513283327,0.026004232829219782,-0.0574544758932955,0.0030260349578516603,0.036800223822964974
-0.008990848969761038,0.019661424008133244,-0.047863617316255165,0.07478918587515772,0.11118327601224859
0.03268805993323989,0.026217937221551347,0.13254276768719986,0.058225452165763074,0.062170898726862066
