Benchmark,Method 1,Method 2,Method 3,Method 4
0.30149501661129496,0.08554817275747477,0.30149501661129496,0.30149501661129496,0.03986710963455145
0.0,0.08715596330275194,0.02905198776758403,0.02905198776758403,0.15290519877675798
0.1754569190600519,0.07624020887728447,0.0882506527415144,0.0882506527415144,0.4579634464751959
0.15590626494500248,0.024868483978957634,0.4581539933046391,0.4581539933046391,0.306073648971784
0.06635071090047423,0.1672308733920112,0.0,0.0,0.4163845633039944
0.017839444995044532,0.19028741328047563,0.0,0.02775024777006913,0.017839444995044532
0.09650824442288992,0.023278370514063892,0.4359844810863238,0.4359844810863238,0.0
0.0013864818024262938,0.042461005199306456,0.13656845753899494,0.13656845753899494,0.03778162911611772
0.26893287435456076,0.11660929432013749,0.026247848537005097,0.23795180722891546,0.06239242685025823
0.16404886561954624,0.1303083187899942,0.061663757998836534,0.061663757998836534,0.2547993019197208
