Benchmark,Method 1,Method 2,Method 3,Method 4
-0.06109324758842428,0.6816720257234727,-0.06109324758842428,-0.06109324758842428,0.5755627009646302
0.5259816600047024,0.7629908300023512,0.40747707500587804,0.5259816600047024,0.8814954150011756
0.06617891586298602,0.8832723644828733,0.8832723644828733,0.6498170934486197,-0.1672763551712675
0.8858695652173914,0.8858695652173914,-0.1413043478260867,-0.1413043478260867,-0.027173913043478024
0.21739130434782616,0.7763975155279503,0.44099378881987583,0.21739130434782616,-0.006211180124223514
0.5246777742848159,0.7623388871424079,0.2870166614272239,0.2870166614272239,0.4058472178560199
0.7742083524552547,0.8871041762276273,-0.12895823772372675,-0.12895823772372675,0.32262505736576397
0.3916913946587536,0.8783382789317508,0.8783382789317508,0.8783382789317508,0.026706231454005712
-0.04694640631491495,0.6859160781055255,0.8953053593685085,0.8953053593685085,0.16244287494806803
0.02336096458176346,0.6744536548605878,0.13187641296156752,0.13187641296156752,0.6744536548605878
