Benchmark,Method 1,Method 2,Method 3,Method 4
0.019928124589230285,0.015573488986940213,0.009104401416061593,0.01041703922802174,0.008132780349045375
0.012532583426104119,0.018691418881534895,0.009922577128887028,0.009692428221051477,0.010850635996147266
0.011864627456465507,0.018753910165260235,0.006213291476512044,0.008035049619198532,0.011242328387124006
0.009716953434662704,0.013920274826144961,0.01146456089044588,0.006691601047753285,0.010850009454587344
0.013803145946127129,0.0216163322605128,0.01573404352488449,0.011688173031704259,0.0048548963139094375
0.018792049725457144,0.019091482889671753,0.016723570162624865,0.01346209635656727,0.010570083254494182
0.010358247592059354,0.02124452222073799,0.015382535428719306,0.012540176433639005,0.014930030198784243
0.008247770987758548,0.012710916480805813,0.013785722525093736,0.005258729993172864,0.008891680499714887
0.0059612042714192615,0.011122537530295783,0.008478377569921175,0.006143973893957043,0.008741744442458661
0.013401013584200972,0.015923093802744846,0.011355781959942721,0.00839725552034005,0.013884846038997558
