Benchmark,Method 1,Method 2,Method 3,Method 4
0.0332148580252269,0.026672281959802275,0.027499606747289494,5.3326818951090486e-5,-0.06874250566086401
0.04710424426119549,0.02214442373203163,0.04514357563645931,-0.020530014712825895,0.1253684195553327
-0.13858697117560015,0.029225052201457626,-0.00862511099332927,0.01983005892278754,-0.04356537855030262
0.026296494824890698,0.027343675383777438,0.08362110933850316,-0.04992893338239736,-0.020829773993428693
0.05722043608967157,0.010306773670954977,0.11745357101119351,-0.018833705110540565,-0.0828671970485133
-0.04003851311510826,0.013796068969513525,0.02352370953753596,0.05856775302330136,0.00995789678417305
0.01896425569929387,0.019924039686944752,-0.016923184728583066,0.014775080382106098,0.07602304509356568
-0.0824568338335155,0.02436816480992241,-0.053617584014563326,-0.1886197142540173,0.09606066766422766
-0.00714690085630944,0.02434975745209198,0.14542898184308575,-0.016093679021983744,-0.0853560597995996
0.02434953576985974,0.011923944030854417,0.13938427722381636,0.07779953436004557,0.07786300920365512
