Benchmark,Method 1,Method 2,Method 3,Method 4
0.023641532245545122,0.03554869711576058,0.01622308199915893,0.022110749136302416,0.02285751908287231
0.009409072415222427,0.01716692009288039,0.016857947276673016,-0.005429581639926792,0.01160332535596497
0.004589580189616163,0.04399648211937874,0.00036111312866716724,0.017046605562467194,0.007408872741477425
-0.009266791635908688,0.08378261614069513,0.009233751324210726,0.005074007060588928,-0.008055482255621362
0.011081863950193916,-0.00015278556671565147,-0.009197133650869637,-0.003280736252349136,0.0002488348612262495
0.013284467776810135,-0.0001913588790892408,0.018568788141534297,-0.010289091129609339,0.008107832465527645
0.012338469312609544,0.0368835728850953,0.0038916349563577596,0.008362094695268713,0.021341954781146266
0.016849460355187213,0.017853834356783473,0.005765808914756879,0.01072376506697619,0.02340458360083865
0.021482256311863745,0.020318358043346904,0.008618959454955496,0.0020556566543365007,0.016099548602071957
0.005705903226963867,0.035629800156051196,0.02426027287299863,0.004636876311855081,0.02230083985827305
