Benchmark,Method 1,Method 2,Method 3,Method 4
-0.008544530657255496,0.00013954584479049397,0.019955819731224962,-0.014563781471029809,0.029962494461655026
-0.0023950520993211238,-5.5077674171296264e-5,0.0015690155051580074,-0.017641434427272503,-0.004102238056159068
-0.000326950048109278,0.0020887964081131682,0.0032406656178980866,0.03592422649556116,0.010421241282042814
0.027401816507716645,-0.0009399722624852556,-0.019473903762428267,-0.010247585815087593,-0.019324972766001782
-0.026768494111096424,-0.0009163254530822501,-0.0068422164543900515,0.005105099717122643,-0.017190083157807394
0.01677307877590167,0.0011066734759995677,-0.003829371523547423,-0.0193479925438535,0.01726099101215273
0.0410797572643331,-0.0002837126775456974,-0.02834694839906257,0.0008607105365762284,-0.022911581687348692
-0.009654614461834198,0.00018566740066192512,0.0004115664009846764,0.011026144230786739,-0.0007182423754591305
0.010625467171445122,0.0011242118791361,0.010249288400356042,-0.02182221284322022,-0.00719855557081438
0.026000555916238566,-0.0004450153448588278,0.01479946316880112,-0.04901375702262287,-0.009544110546268164
