Benchmark,Method 1,Method 2,Method 3,Method 4
0.27103429796355877,0.09659699892818822,0.27103429796355877,0.27103429796355877,0.048767416934619126
0.0,0.08676228544556806,0.006113331765812944,0.0,0.1601222666353165
0.13618224143664773,0.23744595942800167,0.23744595942800167,0.10575324243432069,0.41004323245759944
0.1693840579710142,0.1693840579710142,0.3935688405797095,0.3935688405797095,0.24999999999999986
0.0334118654958233,0.11758406511030198,0.0008567144998930171,0.0334118654958233,0.2186763760976653
0.028292989625903715,0.13486325055014167,0.013203395158755349,0.013203395158755349,0.0009430996541968608
0.11886186324001857,0.18678292794860038,0.37494263423588814,0.37494263423588814,0.0032124827902709203
0.0,0.1577645895153317,0.1577645895153317,0.1577645895153317,0.1969996702934391
0.23888658080598293,0.13294557540506846,0.2575820523473202,0.2575820523473202,0.04237640216036576
0.14449886963074607,0.15052750565184622,0.0467219291635264,0.0467219291635264,0.15052750565184622
