Benchmark,Method 1,Method 2,Method 3,Method 4
0.000612846200538444,3.4887793147981614e-6,0.0006678306619699924,0.0004349510499328716,9.762893685777421e-5
0.0003081128491930106,0.0,0.00010554491110193326,5.935530616172038e-5,5.935530616172038e-5
0.0001663232435293194,0.0008028896536291603,0.0,3.1887174129207454e-5,1.3978861620665179e-5
0.0,0.0,3.8990745469972953e-5,0.00013513097845364245,6.739813154803822e-5
0.0,0.00019473081368080278,0.00022838150807580863,0.0007798897172994651,0.0
0.00015954932856216151,0.0008469680889380283,0.00015695648584055852,0.00013344784990524741,0.0001595493285616045
2.911381400241783e-5,0.0005489128387148097,0.00036351708119560297,0.0,0.0003635170811954909
0.0,0.0003248644842887769,0.0017712903659382665,0.001432760419370558,0.0
0.0006524188832679877,3.228314073515772e-5,3.032020754962514e-5,0.00013082830205086554,3.503203513342937e-5
7.308494528303153e-5,0.00040864161003547787,5.5202426498232745e-5,0.0002272648045128397,0.0002398035701346965
